입국자국가,국가코드,입국연월,입국자 수
미국,275,201301,49071
미국,275,201302,45102
미국,275,201303,63216
미국,275,201304,65260
미국,275,201305,65251
미국,275,201306,70198
미국,275,201307,63323
미국,275,201308,59353
미국,275,201309,62646
미국,275,201310,72149
미국,275,201311,53894
미국,275,201312,52852
미국,275,201401,50347
미국,275,201402,48546
미국,275,201403,65001
미국,275,201404,70195
미국,275,201405,67928
미국,275,201406,74925
미국,275,201407,68180
미국,275,201408,63982
미국,275,201409,69655
미국,275,201410,77836
미국,275,201411,58709
미국,275,201412,55001
